country_id,country_name,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2024,28.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2023,27.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2022,26.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2021,25.0,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2020,23.5,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2019,21.6,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2018,19.6,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2017,17.3,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2016,16.3,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2015,14.3,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2014,12.1,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2013,10.0,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2012,8.4,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2011,6.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2010,5.3,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2009,3.5,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2008,3.0,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2007,2.7,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2006,1.9,Aggregates,Aggregates,Aggregates,,
