country_id,country_name,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,319825435256.189,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,308446174490.985,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,333484637191.804,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,288027736159.846,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,209516974576.598,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,245595833663.934,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,258813628122.367,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,232936713385.777,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,197130248081.966,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2015,217470053848.383,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2014,277002323586.643,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2013,282667640952.6,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2012,285611289163.074,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2011,297301416303.243,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2010,250606656995.904,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2009,195629103639.189,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2008,253789903079.358,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2007,213103649982.808,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2006,171731070205.619,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2005,143021385273.697,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2004,113771160773.442,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2003,90768775258.7917,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2002,74278729950.6175,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2001,70970100178.7784,Aggregates,Aggregates,Aggregates,,
